DATASET,LABEL,1,2,3,4,5,6,7,8,9,10,
bio-CE-LC,UCT,9941.665738,11807.79491,11283.33257,12481.64175,11168.64172,12028.66219,11627.84575,11394.08744,9881.234316,10505.24231,
bio-CE-LC,MAINTENANCE,101.3421986,35.4751052,486.9746115,1738.348466,3209.323533,162.5181039,86.04827508,1003.013195,824.9952935,1489.095813,
aves-geese-female-foraging,UCT,3.042061384,3.32189753,2.765016592,3.037111341,3.5502817,3.26879638,2.917154674,1.994150539,2.260826869,3.296154814,
aves-geese-female-foraging,MAINTENANCE,0.03931189289,0.03059384121,0.04953357358,0.09108161551,0.0469879169,0.05908325659,0.05911499361,0.05830831162,0.04624040314,0.07771746622,
aves-sparrow-social,UCT,49.56225638,46.16641043,33.65297321,53.14635256,49.5352137,34.91363637,32.54435917,27.59939161,30.54384854,36.24394732,
aves-sparrow-social,MAINTENANCE,1.528975144,0.5505206956,0.5051454787,0.7497332905,0.5600126348,1.065145122,0.2772919298,0.4211666236,1.15436111,1.185976606,
aves-thornbill-farine,UCT,740.9002346,782.7540322,583.9553529,749.5853238,780.8535551,749.7982573,740.9689715,800.8867095,697.6349726,758.8589366,
aves-thornbill-farine,MAINTENANCE,3.602997611,2.485547367,16.10890441,9.26208868,11.91484961,17.64578078,2.907047078,11.5937778,2.294966895,0.1857217713,
chesapeake.mtx.convert,UCT,4.03354084,5.486081842,3.497004876,4.769987008,4.680063205,3.40116052,4.503203069,4.19832429,3.314451717,3.496606744,
chesapeake.mtx.convert,MAINTENANCE,0.06700920276,0.07058706959,0.0500181075,0.0765766221,0.01760099027,0.1329786669,0.06174208861,0.0444586053,0.06958791629,0.08814874724,
rajat05.mtx,UCT,43.58522792,44.98719996,41.78545546,45.07604538,53.52254845,44.39922649,45.7173298,47.49489104,44.67058572,44.16516061,
rajat05.mtx,MAINTENANCE,1.81071159,1.81163655,1.761552942,0.4359193072,0.233226059,0.1194224266,0.1131804613,1.132148075,2.857609866,0.09233005646,
inf-euroroad.edges.convert,UCT,936.0340284,1099.367352,968.7949799,1079.252765,933.3638849,830.4570352,861.6457508,862.5395609,895.7949098,878.5223979,
inf-euroroad.edges.convert,MAINTENANCE,5.439820592,6.741989436,10.18622987,7.457464054,57.26492095,19.41716533,10.14779044,4.100573114,7.327362036,1.507725827
ca-GrQc.mtx.convert,UCT,53315.38899,56571.53533,57983.70372,31693.21438,53675.1138,50694.29923,40435.25427,49529.81839,41990.7853,37523.87165,
ca-GrQc.mtx.convert,MAINTENANCE,47.15755334,22.31769605,18.89616606,20.32007093,21.77098414,19.06843458,18.98084005,15.53073121,16.89776206,23.74886887,
