DATASET,LABEL,1,2,3,4,5,6,7,8,9,10,
bio-CE-LC, UCO,6390.51,5955.4,6028.72,5972.08,6033.7,6061.62,5999.4,6014.71,6107.83,6014.13,
bio-CE-LC,MAINTENANCE,39.64,8.06,185.33,912.51,1541.3,91.22,43.83,636.97,421.56,835.4,
aves-geese-female-foraging, UCO,1.65,1.64,1.7,1.66,1.67,1.65,1.65,1.67,1.65,1.67,
aves-geese-female-foraging,MAINTENANCE,0.02,0.02,0.02,0.04,0.02,0.03,0.04,0.03,0.03,0.04,
aves-sparrow-social, UCO,22.56,21.93,22.26,22.15,22.12,22.4,22.44,22.15,22.54,22.25,
aves-sparrow-social,MAINTENANCE,0.83,0.43,0.27,0.27,0.14,0.54,0.14,0.27,0.65,0.73,
aves-thornbill-farine, UCO,384.98,414.89,408.97,406.79,407.99,411.98,415.68,413.42,415.27,414.31,
aves-thornbill-farine,MAINTENANCE,1.48,1.53,7.98,6.07,7.03,9.04,2.22,6.67,1.49,0.12,
chesapeake.mtx.convert, UCO,2.22,2.22,2.26,2.29,2.29,2.32,2.33,2.16,2.21,2.25,
chesapeake.mtx.convert,MAINTENANCE,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,
rajat05.mtx, UCO,23.32,23.680402,23.574915,24.027825,24.520906,24.567476,24.306093,24.310272,24.411780,23.316516,
rajat05.mtx,MAINTENANCE,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,
inf-euroroad.edges.convert, UCO,462.809694,479.269741,474.826476,482.497265,485.476784,482.47349,474.30576,494.069228,503.521632,478.337033,
inf-euroroad.edges.convert,MAINTENANCE,0.000004,0.000004,0.000004,0.000004,0.000004,0.000003,0.000004,0.000004,0.000003,0.000003,
